tag	number	type	description	category
gnomADg_AMR_AF	1	Float	"Alternate allele frequency in samples of American ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADg_ASJ_AF	1	Float	"Alternate allele frequency in samples of Ashkenazi Jewish ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADg_EAS_AF	1	Float	"Alternate allele frequency in samples of East Asian ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADg_FIN_AF	1	Float	"Alternate allele frequency in samples of Finnish ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADg_MID_AF	1	Float	"Alternate allele frequency in samples of Mid-eastern ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADg_NFE_AF	1	Float	"Alternate allele frequency in samples of Non-Finnish European ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADg_OTH_AF	1	Float	"Alternate allele frequency in samples of Other ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADg_SAS_AF	1	Float	"Alternate allele frequency in samples of South Asian ancestry - gnomAD genome (v3.1.2) populations"	vep
gnomADe_AF	1	Float	"Alternate allele frequency (global) - gnomAD exome (v2.1.1) populations"	vep
gnomADe_AFR_AF	1	Float	"Alternate allele frequency in samples of African-American/African American ancestry - gnomAD exome (v2.1.1) populations"	vep
gnomADe_AMR_AF	1	Float	"Alternate allele frequency in samples of Latino ancestry - gnomAD exome (v2.1.1) populations"	vep
gnomADe_ASJ_AF	1	Float	"Alternate allele frequency in samples of Ashkenazi Jewish ancestry - gnomAD exome (v2.1.1) populations"	vep
gnomADe_EAS_AF	1	Float	"Alternate allele frequency in samples of East Asian ancestry - gnomAD exome (v2.1.1) populations"	vep
gnomADe_FIN_AF	1	Float	"Alternate allele frequency in samples of Finnish ancestry - gnomAD exome (v2.1.1) populations"	vep
gnomADe_NFE_AF	1	Float	"Alternate allele frequency in samples of Non-Finnish European ancestry - gnomAD exome (v2.1.1) populations"	vep
gnomADe_OTH_AF	1	Float	"Alternate allele frequency in samples of Other ancestry - gnomAD exome (v2.1.1) populations"	vep
gnomADe_SAS_AF	1	Float	"Alternate allele frequency in samples of South Asian ancestry - gnomAD exome (v2.1.1) populations"	vep
APPRIS	.	String	"Indicates principal isoform class of picked transcript, from APPRIS database (picked by VEP's --flag_pick_allele option)"	vep
