tag	number	type	description	category
PROB_GNOMAD_LOF_TOLERANT_NULL	1	Float	"dbNSFP_gene: the probability of being tolerant of both heterozygous and homozygous lof variants based on gnomAD 2.1 data"	gvanno
ESSENTIAL_GENE_CRISPR	1	String	"dbNSFP_gene: Essential (E) or Non-essential phenotype-changing (N) based on large scale CRISPR experiments. from doi: 10.1126/science.aac7041"	gvanno
ESSENTIAL_GENE_CRISPR2	1	String	"dbNSFP_gene: Essential (E), context-Specific essential (S), or Non-essential phenotype-changing (N) based on large scale CRISPR experiments. from http://dx.doi.org/10.1016/j.cell.2015.11.015"	gvanno
EFFECT_PREDICTIONS	.	String	"All variant effect predictions from different algorithms, as provided by dbNSFP"	gvanno
DBNSFP_ALOFTPRED	.	String	"Protein variant effect prediction from dbNSFP (ALoFT)"	gvanno
DBNSFP_GERP	.	String	"Evolutionary constraint score from dbNSFP (GERP - Genomic Evolutionary Rate Profiling)"	gvanno
DBNSFP_SIFT	.	String	"Protein variant effect prediction from dbNSFP (SIFT - Sorting Intolerant from Tolerant)"	gvanno
DBNSFP_PROVEAN	.	String	"Protein variant effect prediction from dbNSFP (PROVEAN)"	gvanno
DBNSFP_M_CAP	.	String	"Protein variant effect prediction from dbNSFP (M-CAP - Mendelian Clinically Applicable Pathogenicity)"	gvanno
DBNSFP_MUTPRED	.	String	"Protein variant effect prediction from dbNSFP (MutPred)"	gvanno
DBNSFP_META_RNN	.	String	"Protein variant effect prediction from dbNSFP (Ensemble prediction using deep learning)"	gvanno
DBNSFP_MUTATIONTASTER	.	String	"Protein variant effect prediction from dbNSFP (MutationTaster)"	gvanno
DBNSFP_MUTATIONASSESSOR	.	String	"Protein variant effect prediction from dbNSFP (MutationAssessor)"	gvanno
DBNSFP_FATHMM	.	String	"Protein variant effect prediction (FATHMM)"	gvanno
DBNSFP_FATHMM_MKL	.	String	"Protein variant effect prediction (FATHMM_MKL)"	gvanno
DBNSFP_LIST_S2	.	String	"Protein variant effect prediction from dbNSFP (LIST-S2)"	gvanno
DBNSFP_BAYESDEL_ADDAF	.	String	"Protein variant effect prediction from dbNSFP (BayesDel)"	gvanno
DBNSFP_SPLICE_SITE_RF	.	String	"Splice site variant effect prediction from dbNSFP - random forest classifier"	gvanno
DBNSFP_SPLICE_SITE_ADA	.	String	"Splice site variant effect prediction from dbNSFP - adaptive boosting"	gvanno
DBNSFP_PRIMATEAI	.	String	"Protein variant effect prediction from dbNSFP (PrimateAI)"	gvanno
DBNSFP_DEOGEN2	.	String	"Protein variant effect prediction from dbNSFP (Deogen2)"	gvanno
MUTATION_HOTSPOT	.	String	"Known cancer mutation hotspot, as found in cancerhotspots.org. Format: GeneSymbol|Entrez_ID|CodonRefAA|Alt_AA|Q-value"	gvanno
MUTATION_HOTSPOT_CANCERTYPE	.	String	"Tumor types associated with mutation hotspot. Format: TumorSite|SiteFrequency|VariantFrequency"	gvanno
MUTATION_HOTSPOT_MATCH	.	String	"Type of hotspot match (by_hgvsp_principal, by_hgvsc_principal, by_hgvsp_nonprincipal, by_hgvsc_nonprincipal, by_codon_principal, by_codon_nonprincipal)"	gvanno
ONCOGENICITY_SCORE	.	Float	"Accumulated oncogenicity score (ClinGen/VICC guidelines, Horak et al, Genet Med, 2022)"	gvanno
ONCOGENICITY_CLASSIFICATION	.	String	"Oncogenicity classification (ClinGen/VICC guidelines, Horak et al, Genet Med, 2022)"	gvanno
ONCOGENICITY_CLASSIFICATION_CODE	.	String	"Oncogenicity classification codes (ClinGen/VICC guidelines, Horak et al, Genet Med, 2022)"	gvanno
NCER_PERCENTILE	.	String	"Non-coding variant deleteriousness score from the ncER algorithm, based on 10bp resolution genome-wide percentile rank"	gvanno
GENOTYPE	1	String	"Verbose genotype annotation for each variant (homozygous/heterozygous)"	gvanno
SAMPLE_ID	1	String	"Sample/case identifier"	gvanno
VCF_SAMPLE_ID	1	String	"Sample name detected from VCF file"	gvanno
